detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
AKAZE,AKAZE,MAT_BF,SEL_NN,1,0,0,1541,1132,1.43983,1,15.8504,12.5289,14.3521,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
AKAZE,AKAZE,MAT_BF,SEL_NN,1,0,0,1529,1168,1.42775,2,13.2442,16.853,13.3659,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
AKAZE,AKAZE,MAT_BF,SEL_NN,1,0,0,1561,1156,1.45768,3,15.2251,15.3541,14.2508,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
AKAZE,AKAZE,MAT_BF,SEL_NN,1,0,0,1545,1151,1.44777,4,17.9314,12.6599,15.6863,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
AKAZE,AKAZE,MAT_BF,SEL_NN,1,0,0,1526,1162,1.46096,5,14.379,13.3314,13.7269,12.995,7.638,1.442,7.683,1.35,0.5,0.1
AKAZE,AKAZE,MAT_BF,SEL_NN,1,0,0,1566,1177,1.44642,6,15.4052,14.1222,15.2205,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
AKAZE,AKAZE,MAT_BF,SEL_NN,1,0,0,1529,1172,1.52225,7,14.4414,13.5005,14.4919,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
AKAZE,AKAZE,MAT_BF,SEL_NN,1,0,0,1547,1168,1.4491,8,13.8379,11.6698,13.8949,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
AKAZE,AKAZE,MAT_BF,SEL_NN,1,0,0,1572,1196,1.42571,9,11.5237,12.0817,11.5923,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
AKAZE,AKAZE,MAT_BF,SEL_NN,1,0,0,1567,1149,1.42744,10,11.963,11.7507,12.0668,12.5864,7.393,1.411,7.414,1.342,1,0.1
AKAZE,AKAZE,MAT_BF,SEL_NN,1,0,0,1538,1146,1.42446,11,12.108,10.1648,11.3628,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
AKAZE,AKAZE,MAT_BF,SEL_NN,1,0,0,1513,1132,1.45301,12,11.2703,9.68322,10.8519,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
AKAZE,AKAZE,MAT_BF,SEL_NN,1,0,0,1538,1174,1.45098,13,10.4658,9.20459,10.055,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
AKAZE,AKAZE,MAT_BF,SEL_NN,1,0,0,1555,1171,1.50362,14,11.0658,8.32764,10.0101,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
AKAZE,AKAZE,MAT_BF,SEL_NN,1,0,0,1544,1186,1.49123,15,10.5344,9.15646,10.0879,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
AKAZE,AKAZE,MAT_BF,SEL_NN,1,0,0,1563,1204,1.43059,16,9.53164,11.1345,9.13135,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
AKAZE,AKAZE,MAT_BF,SEL_NN,1,0,0,1561,1190,1.46263,17,9.1938,8.29606,8.98139,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
